Date,Region,stock_nappe,precip_tot,T2M,surf_agri,prelev_agri_pct,prelev_dom_pct,prelev_ind_pct,press_ress_int,prelev_total_bm3,indice_stress,croiss_pop,ress_capita,indice_aridite
2015-05-01,Souss-Massa,83.2861004,0.84,23.61,303192.191780822,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.178564902419,834.695276301491,0.0249925617375781
2015-06-01,Souss-Massa,83.03612368,0.82,24.09,303895.424657534,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.18058209903549,833.850205624466,0.0240539747726606
2015-07-01,Souss-Massa,83.543701175,2.18,31,304575.97260274,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.18253422479339,833.03239529186,0.0531707317073171
2015-08-01,Souss-Massa,83.94335938,33.28,27.05,305279.205479452,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.18455142140988,832.187324614834,0.898245614035088
2015-09-01,Souss-Massa,82.37291145,19.41,24.28,305982.438356164,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.18656861802638,831.342253937808,0.566219369894982
2015-10-01,Souss-Massa,80.0868168,61.42,21.33,306662.98630137,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.18852074378428,830.524443605202,1.96042132141717
2015-11-01,Souss-Massa,78.8236969,2.27,18.14,307366.219178082,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.19053794040077,829.679372928177,0.0806680881307747
2015-12-01,Souss-Massa,62.1188345,5.37,16.33,308046.767123288,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.19249006615867,828.861562595571,0.203949867071781
2016-01-01,Souss-Massa,50.376786225,7.3,16.32,308750,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.19450726277516,828.016491918545,0.277355623100304
2016-02-01,Souss-Massa,40.76560936,30.3,15.24,308895.300387978,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.19500157737576,827.179692854066,1.20047543581616
2016-03-01,Souss-Massa,36.897551525,17.31,15.73,309031.226557377,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.1954640007118,826.396880826006,0.672755538282161
2016-04-01,Souss-Massa,33.399330125,2.38,18.09,309176.526945355,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.1959583153124,825.560081761527,0.0847276610893556
2016-05-01,Souss-Massa,48.73851548,59.67,21.02,309317.140224044,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.19643668428072,824.750276215257,1.92359767891683
2016-06-01,Souss-Massa,59.1265974,0.82,25.19,309462.440612022,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.19693099888132,823.913477150778,0.0233020744529696
2016-07-01,Souss-Massa,63.35441495,1.47,30.06,309603.05389071,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.19740936784964,823.103671604509,0.0366949575636545
2016-08-01,Souss-Massa,63.12283018,1.93,31.12,309748.354278689,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.19790368245024,822.26687254003,0.0469357976653696
2016-09-01,Souss-Massa,58.75241755,5.75,25.43,309893.654666667,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.19839799705083,821.430073475551,0.162291843070844
2016-10-01,Souss-Massa,47.09478988,25.85,22.48,310034.267945355,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.19887636601915,820.620267929281,0.795874384236453
2016-11-01,Souss-Massa,72.9469347,96.94,17.32,310179.568333333,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.19937068061975,819.783468864802,3.54831625183016
2016-12-01,Souss-Massa,90.0575123,57.1,14.23,310320.181612022,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.19984904958807,818.973663318533,2.35658274865869
2017-01-01,Souss-Massa,77.27506714,12.4,12.59,310465.482,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.20034336418867,818.136864254054,0.548915449313856
2017-02-01,Souss-Massa,69.601764675,99.69,14.66,310023.208821918,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.19213038017622,817.374208192775,4.04257907542579
2017-03-01,Souss-Massa,73.418676375,10.11,17.4,309623.736273973,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.1847122010682,816.685357556782,0.368978102189781
2017-04-01,Souss-Massa,68.975133925,8.23,21.17,309181.46309589,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.17649921705576,815.922701495503,0.264035931985884
2017-05-01,Souss-Massa,67.81444092,2.5,23.05,308753.456794521,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.16855116801145,815.184647242652,0.075642965204236
2017-06-01,Souss-Massa,70.594820025,0.51,28.24,308311.183616438,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.160338183999,814.421991181373,0.013336820083682
2017-07-01,Souss-Massa,68.48430328,0.08,29.61,307883.177315069,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.1523901349547,813.683936928523,0.00201969199697046
2017-08-01,Souss-Massa,56.510014525,1.68,30.8,307440.904136986,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.14417715094225,812.921280867244,0.0411764705882353
2017-09-01,Souss-Massa,49.588785175,0.91,26.68,306998.630958904,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.1359641669298,812.158624805965,0.0248091603053435
2017-10-01,Souss-Massa,34.56559756,2.63,24.93,306570.624657534,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.1280161178855,811.420570553115,0.075293444030919
2017-11-01,Souss-Massa,21.40521195,12.05,20,306128.351479452,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.11980313387305,810.657914491836,0.401666666666667
2017-12-01,Souss-Massa,22.435790075,22.88,14.07,305700.345178082,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.11185508482875,809.919860238986,0.95056086414624
2018-01-01,Souss-Massa,30.76346892,36.63,13.74,305258.072,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.1036421008163,809.157204177707,1.54296545914069
